objectID, primaryImageSmall
436069, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13336-001.jpg
436070, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13337-001.jpg
436071, https://images.metmuseum.org/CRDImages/ep/web-large/DP-13338-001.jpg
436072, https://images.metmuseum.org/CRDImages/ep/web-large/ep41.190.12.bw.R.jpg
436073, https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.70.bw.R.jpg
436074, https://images.metmuseum.org/CRDImages/ep/web-large/ep41.100.15.bw.R.jpg
436077, https://images.metmuseum.org/CRDImages/ep/web-large/DP169402.jpg
436078, https://images.metmuseum.org/CRDImages/ep/web-large/DP-15425-001.jpg
436079, https://images.metmuseum.org/CRDImages/ep/web-large/DP167131.jpg
436080, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19019-001.jpg
436081, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19584-001.jpg
436083, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19020-001.jpg
436084, https://images.metmuseum.org/CRDImages/ep/web-large/DT1981.jpg
436085, https://images.metmuseum.org/CRDImages/ep/web-large/DT2145.jpg
436086, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19626-001.jpg
436088, https://images.metmuseum.org/CRDImages/ep/web-large/DP-19017-001.jpg
436089, https://images.metmuseum.org/CRDImages/ep/web-large/DT332111.jpg
436090, https://images.metmuseum.org/CRDImages/ep/web-large/DP-23369-001.jpg
436091, https://images.metmuseum.org/CRDImages/ep/web-large/DT2141.jpg
436092, https://images.metmuseum.org/CRDImages/ep/web-large/DP-22554-001.jpg
436093, https://images.metmuseum.org/CRDImages/ep/web-large/DP-21956-001.jpg
436095, https://images.metmuseum.org/CRDImages/ep/web-large/DP-21027-001.jpg
436096, https://images.metmuseum.org/CRDImages/ep/web-large/DT-19374-001.jpg
436097, https://images.metmuseum.org/CRDImages/ep/web-large/DT7217.jpg
436098, https://images.metmuseum.org/CRDImages/ep/web-large/DP-17230-001.jpg
436099, https://images.metmuseum.org/CRDImages/ep/web-large/DT1476.jpg
436100, https://images.metmuseum.org/CRDImages/ep/web-large/DT1477.jpg
436101, https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-023.jpg
